year,area_km2,band,class,class_name
2000,2158.8043791702225,classification_2000classification_2000classification_2000classification_2000classification_2000,36,Natural
2001,2183.7601147103146,classification_2001classification_2001classification_2001classification_2001classification_2001,36,Natural
2002,2141.766157920164,classification_2002classification_2002classification_2002classification_2002classification_2002,36,Natural
2003,2185.020607688759,classification_2003classification_2003classification_2003classification_2003classification_2003,36,Natural
2004,2198.0338399241728,classification_2004classification_2004classification_2004classification_2004classification_2004,36,Natural
2005,2106.0473308545074,classification_2005classification_2005classification_2005classification_2005classification_2005,36,Natural
2006,2066.2120480524595,classification_2006classification_2006classification_2006classification_2006classification_2006,36,Natural
2007,2039.0735743977982,classification_2007classification_2007classification_2007classification_2007classification_2007,36,Natural
2008,2016.010217820351,classification_2008classification_2008classification_2008classification_2008classification_2008,36,Natural
2009,1952.9997838560964,classification_2009classification_2009classification_2009classification_2009classification_2009,36,Natural
2010,2123.217001252021,classification_2010classification_2010classification_2010classification_2010classification_2010,36,Natural
2011,2083.226567367852,classification_2011classification_2011classification_2011classification_2011classification_2011,36,Natural
2012,2037.421001909359,classification_2012classification_2012classification_2012classification_2012classification_2012,36,Natural
2013,2046.0992863180386,classification_2013classification_2013classification_2013classification_2013classification_2013,36,Natural
2014,1945.0911995266588,classification_2014classification_2014classification_2014classification_2014classification_2014,36,Natural
2015,2017.2589165242982,classification_2015classification_2015classification_2015classification_2015classification_2015,36,Natural
2016,2172.555427757794,classification_2016classification_2016classification_2016classification_2016classification_2016,36,Natural
2017,1999.4012726094586,classification_2017classification_2017classification_2017classification_2017classification_2017,36,Natural
2018,2070.9991079461315,classification_2018classification_2018classification_2018classification_2018classification_2018,36,Natural
2019,2004.736092007467,classification_2019classification_2019classification_2019classification_2019classification_2019,36,Natural
2020,2082.49540659697,classification_2020classification_2020classification_2020classification_2020classification_2020,36,Natural
2021,2015.4858304291117,classification_2021classification_2021classification_2021classification_2021classification_2021,36,Natural
2022,1949.4852612468726,classification_2022classification_2022classification_2022classification_2022classification_2022,36,Natural
2023,2119.060159422901,classification_2023classification_2023classification_2023classification_2023classification_2023,36,Natural
2000,1643.7740687472747,classification_2000classification_2000classification_2000classification_2000,97,Non-natural
2001,1618.818333207229,classification_2001classification_2001classification_2001classification_2001,97,Non-natural
2002,1660.8122899973487,classification_2002classification_2002classification_2002classification_2002,97,Non-natural
2003,1617.5578402287301,classification_2003classification_2003classification_2003classification_2003classification_2003,138,Non-natural
2004,1604.5446079933126,classification_2004classification_2004classification_2004classification_2004classification_2004,138,Non-natural
2005,1696.5311170629013,classification_2005classification_2005classification_2005classification_2005classification_2005,138,Non-natural
2006,1736.3663998650331,classification_2006classification_2006classification_2006classification_2006classification_2006,138,Non-natural
2007,1763.5048735196767,classification_2007classification_2007classification_2007classification_2007classification_2007,138,Non-natural
2008,1786.5682300971653,classification_2008classification_2008classification_2008classification_2008classification_2008,138,Non-natural
2009,1849.5786640614126,classification_2009classification_2009classification_2009classification_2009classification_2009,138,Non-natural
2010,1679.3614466655342,classification_2010classification_2010classification_2010classification_2010classification_2010,138,Non-natural
2011,1719.351880549564,classification_2011classification_2011classification_2011classification_2011classification_2011,138,Non-natural
2012,1765.1574460080994,classification_2012classification_2012classification_2012classification_2012classification_2012,138,Non-natural
2013,1756.4791615993202,classification_2013classification_2013classification_2013classification_2013classification_2013,138,Non-natural
2014,1857.4872483907748,classification_2014classification_2014classification_2014classification_2014classification_2014,138,Non-natural
2015,1785.319531393228,classification_2015classification_2015classification_2015classification_2015classification_2015,138,Non-natural
2016,1630.023020159814,classification_2016classification_2016classification_2016classification_2016classification_2016,138,Non-natural
2017,1803.1771753079947,classification_2017classification_2017classification_2017classification_2017classification_2017,138,Non-natural
2018,1731.5793399714162,classification_2018classification_2018classification_2018classification_2018classification_2018,138,Non-natural
2019,1797.842355909968,classification_2019classification_2019classification_2019classification_2019classification_2019,138,Non-natural
2020,1720.0830413205254,classification_2020classification_2020classification_2020classification_2020classification_2020,138,Non-natural
2021,1787.0926174884405,classification_2021classification_2021classification_2021classification_2021classification_2021,138,Non-natural
2022,1853.0931866706974,classification_2022classification_2022classification_2022classification_2022classification_2022,138,Non-natural
2023,1683.5182884946687,classification_2023classification_2023classification_2023classification_2023classification_2023,138,Non-natural
