mean_u__wind,mean_v__wind,month,timestamp,year
-0.9339752954651326,-0.4114312876027556,1,2000-01-01,2000
-1.4154347951893966,-0.15625962114113623,4,2000-04-01,2000
-1.6453487939547082,0.05566016494350145,7,2000-07-01,2000
-1.3442410188347624,0.1584949799731814,10,2000-10-01,2000
-1.4008583717112626,-0.4240530059403983,1,2001-01-01,2001
-1.3219595426501283,-0.09327908731431363,4,2001-04-01,2001
-1.618516165353704,-0.2049660414178483,7,2001-07-01,2001
-1.8165920023342976,0.163258578711502,10,2001-10-01,2001
-1.3808597876807434,-0.444644181409541,1,2002-01-01,2002
-1.5430112838835752,-0.15999582136449944,4,2002-04-01,2002
-2.1534397834978614,-0.12612003976245278,7,2002-07-01,2002
-1.641473453796486,0.03386644312615122,10,2002-10-01,2002
-1.91577105240948,-0.374960264871986,1,2003-01-01,2003
-1.5214147276635233,-0.09375007185518465,4,2003-04-01,2003
-1.3160754861087212,-0.20290090582028902,7,2003-07-01,2003
-1.3188409283421263,0.2686567408990193,10,2003-10-01,2003
-1.187024019658984,-0.26307637616352786,1,2004-01-01,2004
-1.4407022869311898,-0.08153931926864524,4,2004-04-01,2004
-1.5602968185914858,-0.16863964072364956,7,2004-07-01,2004
-1.288895932570146,0.3347664673951109,10,2004-10-01,2004
-1.0586014096126326,-0.19191781215416717,1,2005-01-01,2005
-1.7314427828165044,-0.1865566296430146,4,2005-04-01,2005
-1.376271425655947,-0.38041673345017113,7,2005-07-01,2005
-1.1890427443266791,0.10903482630257685,10,2005-10-01,2005
-1.330115527704735,-0.2835305082950681,1,2006-01-01,2006
-1.2596308545876953,-0.09911168407296264,4,2006-04-01,2006
-1.5023813438596054,-0.3066388128325372,7,2006-07-01,2006
-1.5608812326141897,-0.005555336186713044,10,2006-10-01,2006
-1.4335740424339427,-0.22786484693567846,1,2007-01-01,2007
-1.350315863550783,-0.19138397608763844,4,2007-04-01,2007
-1.3675172346761282,-0.37565363408777513,7,2007-07-01,2007
-1.2936201011308301,-0.17782478107470356,10,2007-10-01,2007
-1.123068055083109,-0.45354963205379184,1,2008-01-01,2008
-1.0658561404382956,-0.22908360487599172,4,2008-04-01,2008
-1.4277537647006724,-0.32465825369549356,7,2008-07-01,2008
