mean_u__wind,mean_v__wind,month_end,month_init,time_finish,time_start,year
-1.0323634444466097,-0.5046349294791739,2,1,2000-02-29,2000-01-13,2000
-1.4145862477440991,-0.14351276391170198,8,2,2000-08-24,2000-02-29,2000
-1.8026317481182699,0.28004979763884225,9,8,2000-09-28,2000-08-24,2000
-1.286616513830559,0.021453035867997138,1,9,2001-01-05,2000-09-28,2000
-1.4055477105767622,-0.5930465471434904,2,1,2001-02-14,2001-01-05,2001
-1.51933178157338,-0.17884750281089187,8,2,2001-08-05,2001-02-14,2001
-1.3887208403102935,-0.11109004356128313,9,8,2001-09-07,2001-08-05,2001
-1.8165920023342976,0.163258578711502,12,9,2001-12-27,2001-09-07,2001
-1.31469132799369,-0.5025667180444047,2,12,2002-02-26,2001-12-27,2001
-1.699834873949071,-0.19290776219572778,8,2,2002-08-19,2002-02-26,2002
-2.4035406655047358,-0.029700118346303754,9,8,2002-09-18,2002-08-19,2002
-1.641473453796486,0.03386644312615122,12,9,2002-12-31,2002-09-18,2002
-1.91577105240948,-0.374960264871986,3,12,2003-03-14,2002-12-31,2002
-1.4769386454237377,-0.1812694818416532,8,3,2003-08-12,2003-03-14,2003
-1.1277774141980457,0.016394476181844964,9,8,2003-09-18,2003-08-12,2003
-1.2244755515402233,0.1611996192089901,1,9,2004-01-12,2003-09-18,2003
-1.3098463189212182,-0.3140286913147429,3,1,2004-03-08,2004-01-12,2004
-1.4972569030910063,-0.10677063455116326,7,3,2004-07-19,2004-03-08,2004
-1.5069848521020008,-0.16172717088611577,9,7,2004-09-10,2004-07-19,2004
-1.2074144128354374,0.2021806450745627,1,9,2005-01-08,2004-09-10,2004
-1.0625351052742795,-0.17472432893813208,2,1,2005-02-24,2005-01-08,2005
-1.4931845315873429,-0.24432880753573663,7,2,2005-07-13,2005-02-24,2005
-1.2813385490964302,-0.5564348405840144,8,7,2005-08-12,2005-07-13,2005
-1.3233272303241383,0.04970274556339584,12,8,2005-12-23,2005-08-12,2005
-1.2098947954104846,-0.30952103796044395,2,12,2006-02-02,2005-12-23,2005
-1.3660994857029447,-0.24410947331729413,8,2,2006-08-03,2006-02-02,2006
-1.5856600928150097,-0.00020252708429753996,12,8,2006-12-23,2006-08-30,2006
-1.3915212701236994,-0.21972676468159005,2,12,2007-02-24,2006-12-23,2006
-1.3761847700383172,-0.28751215383607676,8,2,2007-08-06,2007-02-24,2007
-1.4140702615052587,-0.22018091895363545,9,8,2007-09-04,2007-08-06,2007
-1.2936201011308301,-0.17782478107470356,12,9,2007-12-19,2007-09-04,2007
-1.240554055310614,-0.45744384427157847,1,12,2008-01-30,2007-12-19,2007
-1.168794418273329,-0.36920033327082497,8,1,2008-08-07,2008-01-30,2008
-1.4279188974423154,0.01997170529152236,9,8,2008-09-06,2008-08-07,2008
-0.6897530315815686,0.09130664579152384,12,9,2008-12-11,2008-09-06,2008
-1.3121341001120146,-0.3983249947638872,1,12,2009-01-21,2008-12-11,2008
-1.6175488406916314,-0.2185961406025185,8,1,2009-08-29,2009-01-21,2009
-2.4331345625253977,-0.01696800519893695,9,8,2009-09-19,2009-08-29,2009
-1.968169061736993,-0.27651231489478717,1,9,2010-01-02,2009-09-19,2009
-1.7939906456495722,-0.32493566153048375,3,1,2010-03-07,2010-01-02,2010
-1.072049429408555,-0.17745553071436831,7,3,2010-07-24,2010-03-07,2010
-1.0311220114731519,-0.7851785871673274,8,7,2010-08-20,2010-07-24,2010
