"","X","mean_SPM","max_SPM","min_SPM","stdDev_SPM","month_init","year","water_period","discharge_max","discharge_min","area_km2","mean_precipitation","discharge_mean","mean_u__wind","mean_v__wind"
"1",0,73.5353452899067,306.049041748047,6.64403247833252,51.8901268401633,1,2000,"R",180970.06,152791.39,989.08475836606,1290.48672037121,167251.6,-0.933975295465133,-0.411431287602756
"2",1,22.6796184818647,282.490112304688,5.84490013122559,15.9294162726087,7,2000,"F",210227.493333333,187716.696666667,1335.44613479114,249.195780511754,199513.62,-1.64534879395471,0.0556601649435014
"3",2,134.0381175679,306.049041748047,8.78090858459473,74.6730738593567,10,2000,"LW",131677.151666667,112206.038666667,983.227657220464,207.142783132811,119414.215,-1.34424101883476,0.158494979973181
"4",3,93.2109249426,306.049041748047,6.62391901016235,65.2763313317143,1,2001,"R",180008.923333333,151748.301666667,1134.17172390729,1104.29227016184,165210.756666667,-1.40085837171126,-0.424053005940398
"5",4,18.7245211495984,282.490112304688,5.4013819694519,15.7151657074511,4,2001,"HW",225499.916666667,217867.04,1335.08555402149,684.242645108836,222300.54,-1.32195954265013,-0.0932790873143136
"6",5,23.0970208654021,218.288528442383,6.53792142868042,10.813260319742,7,2001,"F",196338.923333333,165046.18,1384.28256619062,138.173075079543,181597.236666667,-1.6185161653537,-0.204966041417848
"7",6,204.281046374129,306.049041748047,7.43446969985962,49.8776571887826,10,2001,"LW",112400.515,89882.9033333333,705.845710524653,158.666222854615,99907.0366666667,-1.8165920023343,0.163258578711502
"8",7,63.6617109446952,287.353210449219,8.28295421600342,26.7556805930641,1,2002,"R",172924.38,149273.363333333,1123.05573231394,971.679962155491,161885.286666667,-1.38085978768074,-0.444644181409541
"9",8,25.0014877193606,282.490112304688,5.34286594390869,14.703143819675,4,2002,"HW",219020.74,208954.17,1315.86737689181,740.655805290271,214025.823333333,-1.54301128388358,-0.159995821364499
"10",9,25.9675941441497,235.835601806641,5.97280550003052,11.7071864947921,7,2002,"F",206412.983333333,181938.063333333,1390.04504641282,82.9074037626983,195080.746666667,-2.15343978349786,-0.126120039762453
